"4-digit SIC","Description"
7830,"Other human resources provision"
8010,"Private security activities"
4299,"Construction of other civil engineering projects n.e.c."
2562,"Machining"
8299,"Other business support service activities n.e.c."
5510,"Hotels and similar accommodation"
7820,"Temporary employment agency activities"
9312,"Activities of sport clubs"
