"Section","Section.name","SIC2dg1","Division.name","Group","Group.name","Class","Class.name","SectionAbb"
"B","Mining and quarrying",8,"Other mining and quarrying",81,"Quarrying of stone, sand and clay",811,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate","Mining"
"B","Mining and quarrying",8,"Other mining and quarrying",81,"Quarrying of stone, sand and clay",812,"Operation of gravel and sand pits; mining of clays and kaolin","Mining"
"B","Mining and quarrying",8,"Other mining and quarrying",89,"Mining and quarrying n.e.c.",891,"Mining of chemical and fertiliser minerals","Mining"
"B","Mining and quarrying",8,"Other mining and quarrying",89,"Mining and quarrying n.e.c.",892,"Extraction of peat","Mining"
"B","Mining and quarrying",8,"Other mining and quarrying",89,"Mining and quarrying n.e.c.",893,"Extraction of salt","Mining"
"B","Mining and quarrying",8,"Other mining and quarrying",89,"Mining and quarrying n.e.c.",899,"Other mining and quarrying n.e.c.","Mining"
"B","Mining and quarrying",9,"Mining support service activities",91,"Support activities for petroleum and natural gas extraction",910,"Support activities for petroleum and natural gas extraction","Mining"
"B","Mining and quarrying",9,"Mining support service activities",99,"Support activities for other mining and quarrying",990,"Support activities for other mining and quarrying","Mining"
"C","Manufacturing",10,"Manufacture of food products",101,"Processing and preserving of meat and production of meat products",1011,"Processing and preserving of meat","Manufacturing"
"C","Manufacturing",10,"Manufacture of food products",101,"Processing and preserving of meat and production of meat products",1012,"Processing and preserving of poultry meat","Manufacturing"
"C","Manufacturing",10,"Manufacture of food products",101,"Processing and preserving of meat and production of meat products",1013,"Production of meat and poultry meat products","Manufacturing"
"C","Manufacturing",10,"Manufacture of food products",102,"Processing and preserving of fish, crustaceans and molluscs",1020,"Processing and preserving of fish, crustaceans and molluscs","Manufacturing"
"C","Manufacturing",10,"Manufacture of food products",103,"Processing and preserving of fruit and vegetables",1031,"Processing and preserving of potatoes","Manufacturing"
"C","Manufacturing",10,"Manufacture of food products",103,"Processing and preserving of fruit and vegetables",1032,"Manufacture of fruit and vegetable juice","Manufacturing"
"C","Manufacturing",10,"Manufacture of food products",103,"Processing and preserving of fruit and vegetables",1039,"Other processing and preserving of fruit and vegetables","Manufacturing"
"C","Manufacturing",10,"Manufacture of food products",104,"Manufacture of vegetable and animal oils and fats",1041,"Manufacture of oils and fats","Manufacturing"
"C","Manufacturing",10,"Manufacture of food products",104,"Manufacture of vegetable and animal oils and fats",1042,"Manufacture of margarine and similar edible fats","Manufacturing"
"C","Manufacturing",10,"Manufacture of food products",105,"Manufacture of dairy products",1051,"Operation of dairies and cheese making","Manufacturing"
"C","Manufacturing",10,"Manufacture of food products",105,"Manufacture of dairy products",1052,"Manufacture of ice cream","Manufacturing"
"C","Manufacturing",10,"Manufacture of food products",106,"Manufacture of grain mill products, starches and starch products",1061,"Manufacture of grain mill products","Manufacturing"
"C","Manufacturing",10,"Manufacture of food products",106,"Manufacture of grain mill products, starches and starch products",1062,"Manufacture of starches and starch products","Manufacturing"
"C","Manufacturing",10,"Manufacture of food products",107,"Manufacture of bakery and farinaceous products",1071,"Manufacture of bread; manufacture of fresh pastry goods and cakes","Manufacturing"
"C","Manufacturing",10,"Manufacture of food products",107,"Manufacture of bakery and farinaceous products",1072,"Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes","Manufacturing"
"C","Manufacturing",10,"Manufacture of food products",107,"Manufacture of bakery and farinaceous products",1073,"Manufacture of macaroni, noodles, couscous and similar farinaceous products","Manufacturing"
"C","Manufacturing",10,"Manufacture of food products",108,"Manufacture of other food products",1081,"Manufacture of sugar","Manufacturing"
"C","Manufacturing",10,"Manufacture of food products",108,"Manufacture of other food products",1082,"Manufacture of cocoa, chocolate and sugar confectionery","Manufacturing"
"C","Manufacturing",10,"Manufacture of food products",108,"Manufacture of other food products",1083,"Processing of tea and coffee","Manufacturing"
"C","Manufacturing",10,"Manufacture of food products",108,"Manufacture of other food products",1084,"Manufacture of condiments and seasonings","Manufacturing"
"C","Manufacturing",10,"Manufacture of food products",108,"Manufacture of other food products",1085,"Manufacture of prepared meals and dishes","Manufacturing"
"C","Manufacturing",10,"Manufacture of food products",108,"Manufacture of other food products",1086,"Manufacture of homogenised food preparations and dietetic food","Manufacturing"
"C","Manufacturing",10,"Manufacture of food products",108,"Manufacture of other food products",1089,"Manufacture of other food products n.e.c.","Manufacturing"
"C","Manufacturing",10,"Manufacture of food products",109,"Manufacture of prepared animal feeds",1091,"Manufacture of prepared feeds for farm animals","Manufacturing"
"C","Manufacturing",10,"Manufacture of food products",109,"Manufacture of prepared animal feeds",1092,"Manufacture of prepared pet foods","Manufacturing"
"C","Manufacturing",11,"Manufacture of beverages",110,"Manufacture of beverages",1101,"Distilling, rectifying and blending of spirits","Manufacturing"
"C","Manufacturing",11,"Manufacture of beverages",110,"Manufacture of beverages",1102,"Manufacture of wine from grape","Manufacturing"
"C","Manufacturing",11,"Manufacture of beverages",110,"Manufacture of beverages",1103,"Manufacture of cider and other fruit wines","Manufacturing"
"C","Manufacturing",11,"Manufacture of beverages",110,"Manufacture of beverages",1104,"Manufacture of other non-distilled fermented beverages","Manufacturing"
"C","Manufacturing",11,"Manufacture of beverages",110,"Manufacture of beverages",1105,"Manufacture of beer","Manufacturing"
"C","Manufacturing",11,"Manufacture of beverages",110,"Manufacture of beverages",1106,"Manufacture of malt","Manufacturing"
"C","Manufacturing",11,"Manufacture of beverages",110,"Manufacture of beverages",1107,"Manufacture of soft drinks; production of mineral waters and other bottled waters","Manufacturing"
"C","Manufacturing",12,"Manufacture of tobacco products",120,"Manufacture of tobacco products",1200,"Manufacture of tobacco products","Manufacturing"
"C","Manufacturing",13,"Manufacture of textiles",131,"Preparation and spinning of textile fibres",1310,"Preparation and spinning of textile fibres","Manufacturing"
"C","Manufacturing",13,"Manufacture of textiles",132,"Weaving of textiles",1320,"Weaving of textiles","Manufacturing"
"C","Manufacturing",13,"Manufacture of textiles",133,"Finishing of textiles",1330,"Finishing of textiles","Manufacturing"
"C","Manufacturing",13,"Manufacture of textiles",139,"Manufacture of other textiles",1391,"Manufacture of knitted and crocheted fabrics","Manufacturing"
"C","Manufacturing",13,"Manufacture of textiles",139,"Manufacture of other textiles",1392,"Manufacture of made-up textile articles, except apparel","Manufacturing"
"C","Manufacturing",13,"Manufacture of textiles",139,"Manufacture of other textiles",1393,"Manufacture of carpets and rugs","Manufacturing"
"C","Manufacturing",13,"Manufacture of textiles",139,"Manufacture of other textiles",1394,"Manufacture of cordage, rope, twine and netting","Manufacturing"
"C","Manufacturing",13,"Manufacture of textiles",139,"Manufacture of other textiles",1395,"Manufacture of non-wovens and articles made from non-wovens, except apparel","Manufacturing"
"C","Manufacturing",13,"Manufacture of textiles",139,"Manufacture of other textiles",1396,"Manufacture of other technical and industrial textiles","Manufacturing"
"C","Manufacturing",13,"Manufacture of textiles",139,"Manufacture of other textiles",1399,"Manufacture of other textiles n.e.c.","Manufacturing"
"C","Manufacturing",14,"Manufacture of wearing apparel",141,"Manufacture of wearing apparel, except fur apparel",1411,"Manufacture of leather clothes","Manufacturing"
"C","Manufacturing",14,"Manufacture of wearing apparel",141,"Manufacture of wearing apparel, except fur apparel",1412,"Manufacture of workwear","Manufacturing"
"C","Manufacturing",14,"Manufacture of wearing apparel",141,"Manufacture of wearing apparel, except fur apparel",1413,"Manufacture of other outerwear","Manufacturing"
"C","Manufacturing",14,"Manufacture of wearing apparel",141,"Manufacture of wearing apparel, except fur apparel",1414,"Manufacture of underwear","Manufacturing"
"C","Manufacturing",14,"Manufacture of wearing apparel",141,"Manufacture of wearing apparel, except fur apparel",1419,"Manufacture of other wearing apparel and accessories","Manufacturing"
"C","Manufacturing",14,"Manufacture of wearing apparel",142,"Manufacture of articles of fur",1420,"Manufacture of articles of fur","Manufacturing"
"C","Manufacturing",14,"Manufacture of wearing apparel",143,"Manufacture of knitted and crocheted apparel",1431,"Manufacture of knitted and crocheted hosiery","Manufacturing"
"C","Manufacturing",14,"Manufacture of wearing apparel",143,"Manufacture of knitted and crocheted apparel",1439,"Manufacture of other knitted and crocheted apparel","Manufacturing"
"C","Manufacturing",15,"Manufacture of leather and related products",151,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",1511,"Tanning and dressing of leather; dressing and dyeing of fur","Manufacturing"
"C","Manufacturing",15,"Manufacture of leather and related products",151,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",1512,"Manufacture of luggage, handbags and the like, saddlery and harness","Manufacturing"
"C","Manufacturing",15,"Manufacture of leather and related products",152,"Manufacture of footwear",1520,"Manufacture of footwear","Manufacturing"
"C","Manufacturing",16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",161,"Sawmilling and planing of wood",1610,"Sawmilling and planing of wood","Manufacturing"
"C","Manufacturing",16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",162,"Manufacture of products of wood, cork, straw and plaiting materials",1621,"Manufacture of veneer sheets and wood-based panels","Manufacturing"
"C","Manufacturing",16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",162,"Manufacture of products of wood, cork, straw and plaiting materials",1622,"Manufacture of assembled parquet floors","Manufacturing"
"C","Manufacturing",16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",162,"Manufacture of products of wood, cork, straw and plaiting materials",1623,"Manufacture of other builders' carpentry and joinery","Manufacturing"
"C","Manufacturing",16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",162,"Manufacture of products of wood, cork, straw and plaiting materials",1624,"Manufacture of wooden containers","Manufacturing"
"C","Manufacturing",16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",162,"Manufacture of products of wood, cork, straw and plaiting materials",1629,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials","Manufacturing"
"C","Manufacturing",17,"Manufacture of paper and paper products",171,"Manufacture of pulp, paper and paperboard",1711,"Manufacture of pulp","Manufacturing"
"C","Manufacturing",17,"Manufacture of paper and paper products",171,"Manufacture of pulp, paper and paperboard",1712,"Manufacture of paper and paperboard","Manufacturing"
"C","Manufacturing",17,"Manufacture of paper and paper products",172,"Manufacture of articles of paper and paperboard",1721,"Manufacture of corrugated paper and paperboard and of containers of paper and paperboard","Manufacturing"
"C","Manufacturing",17,"Manufacture of paper and paper products",172,"Manufacture of articles of paper and paperboard",1722,"Manufacture of household and sanitary goods and of toilet requisites","Manufacturing"
"C","Manufacturing",17,"Manufacture of paper and paper products",172,"Manufacture of articles of paper and paperboard",1723,"Manufacture of paper stationery","Manufacturing"
"C","Manufacturing",17,"Manufacture of paper and paper products",172,"Manufacture of articles of paper and paperboard",1724,"Manufacture of wallpaper","Manufacturing"
"C","Manufacturing",17,"Manufacture of paper and paper products",172,"Manufacture of articles of paper and paperboard",1729,"Manufacture of other articles of paper and paperboard","Manufacturing"
"C","Manufacturing",18,"Printing and reproduction of recorded media",181,"Printing and service activities related to printing",1811,"Printing of newspapers","Manufacturing"
